,COD-LOJA,COD-PLU,QTD-EMBAL
638,1299,1105080,1
639,1299,1105345,2
640,1299,1105347,3
641,1299,1105362,1
642,1299,1105405,1
643,1299,1105406,1
644,1299,1105952,1
645,1299,1106367,2
646,1299,1106594,2
647,1299,1106919,1
648,1299,1107320,2
649,1299,1107355,1
650,1299,1107359,1
651,1299,1107668,0
652,1299,1107784,2
653,1299,1107790,1
654,1299,1107900,3
655,1299,1108936,1
656,1299,1108938,1
657,1299,1109308,1
658,1299,1109311,1
659,1299,1109366,1
660,1299,1109618,1
661,1299,1109621,0
662,1299,1109623,2
663,1299,1109808,1
664,1299,1109820,1
665,1299,1109873,1
666,1299,1110130,1
667,1299,1110220,1
668,1299,1110454,1
669,1299,1110636,1
670,1299,1110972,1
671,1299,1111254,1
672,1299,1111258,1
673,1299,1111259,1
674,1299,1111642,1
675,1299,1111737,1
676,1299,1111738,1
677,1299,1111796,1
678,1299,1111935,0
679,1299,1112293,1
680,1299,1112483,0
681,1299,1112705,1
682,1299,1112706,1
683,1299,1112707,1
684,1299,1112815,1
685,1299,1112820,2
686,1299,1113115,1
687,1299,1113124,1
688,1299,1113360,1
689,1299,1113440,3
690,1299,1113662,1
691,1299,1113684,3
692,1299,1113841,1
693,1299,1113957,1
694,1299,1114126,1
695,1299,1114232,2
696,1299,1114314,1
697,1299,1114315,1
698,1299,1114735,1
699,1299,1114878,1
700,1299,1114990,2
701,1299,1115118,1
702,1299,1115119,1
703,1299,1115138,1
704,1299,1115168,1
705,1299,1115173,1
706,1299,1115178,1
707,1299,1115798,3
708,1299,1115863,1
709,1299,1116028,1
710,1299,1116029,1
711,1299,1116136,1
712,1299,1116137,1
713,1299,1116225,1
714,1299,1116636,1
715,1299,1116749,1
716,1299,1116884,0
717,1299,1116948,1
718,1299,1117081,1
719,1299,1117180,1
720,1299,1117267,1
721,1299,1117606,1
722,1299,1117796,2
